time_s,tick_ms_mapped
76.666667,890249416
76.766667,890249489
76.833333,890249538
77.0,890249659
77.1,890249731
77.166667,890249780
77.3,890249877
77.433333,890249974
77.6,890250095
78.033333,890250410
78.133333,890250482
78.366667,890250652
78.433333,890250700
78.566667,890250797
78.733333,890250918
78.966667,890251088
79.066667,890251161
79.3,890251330
79.466667,890251451
79.633333,890251572
79.866667,890251742
79.966667,890251815
80.033333,890251863
80.3,890252057
80.533333,890252227
80.666667,890252323
80.833333,890252445
80.966667,890252541
81.166667,890252687
81.333333,890252808
81.566667,890252978
81.733333,890253099
82.166667,890253414
82.466667,890253632
82.6,890253729
83.166667,890254140
83.366667,890254286
83.533333,890254407
83.7,890254528
83.766667,890254576
84.033333,890254770
84.133333,890254843
84.266667,890254940
84.5,890255109
84.566667,890255158
84.733333,890255279
84.8,890255327
84.866667,890255376
85.0,890255473
85.166667,890255594
85.333333,890255715
85.466667,890255812
85.6,890255909
85.833333,890256078
85.9,890256127
86.066667,890256248
86.5,890256563
86.733333,890256732
86.8,890256781
87.533333,890257314
87.8,890257508
88.233333,890257823
88.466667,890257992
88.833333,890258259
88.9,890258307
89.066667,890258428
89.5,890258743
89.8,890258961
89.866667,890259010
89.966667,890259082
90.133333,890259203
90.4,890259397
90.533333,890259494
90.7,890259615
91.033333,890259857
91.3,890260051
91.366667,890260100
91.466667,890260172
91.633333,890260294
91.933333,890260512
92.1,890260633
92.166667,890260681
92.233333,890260730
92.333333,890260802
92.7,890261069
92.8,890261141
92.933333,890261238
93.033333,890261311
93.2,890261432
93.3,890261505
93.566667,890261699
93.7,890261795
93.833333,890261892
93.9,890261941
94.1,890262086
94.166667,890262135
94.333333,890262256
94.4,890262304
94.466667,890262353
94.566667,890262425
94.633333,890262474
94.733333,890262546
94.833333,890262619
