frame,time_s,brightness
163,5.433333333333334,28.753822229572663
164,5.466666666666667,28.726117956209745
165,5.5,28.729377417606145
166,5.533333333333333,28.72482014388489
167,5.566666666666666,28.68996526916398
168,5.6,28.77288973418966
169,5.633333333333334,28.838662403410606
170,5.666666666666667,28.82508246276542
171,5.7,28.82752189053355
172,5.733333333333333,28.790686990637376
173,5.766666666666667,28.800839787939765
174,5.8,28.859912070343725
175,5.833333333333333,28.76524986907026
176,5.866666666666666,28.73285050120823
177,5.9,28.88484155204572
178,5.933333333333334,28.87746584341722
179,5.966666666666667,28.933083418322813
180,6.0,28.80650422190983
181,6.033333333333333,28.82696601339618
182,6.066666666666666,28.61975017687
183,6.1,28.683255694295138
184,6.133333333333334,28.455552799139998
185,6.166666666666667,28.48035364811599
186,6.2,28.36799985299117
